first_name,second_name,team,element_type,price,total_points,goals_scored,assists,clean_sheets,minutes,form,ict_index,goals_conceded,saves,bonus,selected_by_percent,points_per_game,expected_goals,expected_assists
Tammy,Abraham,2,4,5.7,23,2,0,0,278,0.2,27.1,8,0,2,0.2,1.9,2.05,0.36
Max,Weiß,3,1,4.2,7,0,0,0,270,1.8,8.7,4,10,0,0.2,2.3,0.00,0.00
Etienne,Green,3,1,4.0,0,0,0,0,0,0.0,0.0,0,0,0,0.2,0.0,0.00,0.00
Václav,Hladký,3,1,3.9,0,0,0,0,0,0.0,0.0,0,0,0,0.1,0.0,0.00,0.00
Connor,Roberts,3,2,4.3,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Kyle,Walker,3,2,4.4,70,0,2,4,3095,1.5,77.4,66,0,3,1.2,1.9,0.15,1.29
Hannes,Delcroix,3,2,3.8,0,0,0,0,0,0.0,0.0,0,0,0,0.2,0.0,0.00,0.00
Owen,Dodgson,3,2,4.0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Hjalmar,Ekdal,3,2,3.8,52,0,0,2,1539,0.8,51.7,34,0,2,0.7,2.7,0.25,0.32
Maxime,Estève,3,2,3.8,85,0,0,3,2933,2.0,93.7,70,0,0,7.0,2.5,0.73,0.59
Quilindschy,Hartman,3,2,4.0,63,0,6,3,1825,0.2,79.5,40,0,0,0.6,3.0,0.32,1.98
Bashir,Humphreys,3,2,3.9,47,0,2,2,1574,0.8,61.4,33,0,1,0.1,2.4,0.42,0.68
Jordan,Beyer,3,2,3.9,0,0,0,0,0,0.0,0.0,0,0,0,0.1,0.0,0.00,0.00
Lucas,Pires Silva,3,2,3.8,25,0,0,1,1405,1.2,65.6,30,0,0,0.3,1.2,0.60,1.46
Shurandy,Sambo,3,2,4.0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Oliver,Sonne,3,2,3.8,13,1,0,0,164,0.0,9.2,4,0,0,0.2,1.9,0.55,0.08
Axel,Tuanzebe,3,2,3.9,34,1,0,1,1201,1.8,34.1,26,0,0,0.9,2.4,0.61,0.12
Joe,Worrall,3,2,3.8,20,0,0,0,496,0.0,17.0,11,0,0,0.2,1.8,0.08,0.02
Jaidon,Anthony,3,3,5.0,127,8,4,4,2717,4.0,175.8,59,0,6,2.4,3.4,5.11,2.85
Manuel,Benson Hedilazio,3,3,5.4,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Jacob,Bruun Larsen,3,3,5.2,41,0,1,3,1014,0.8,47.4,29,0,0,0.0,1.5,1.37,1.16
Enock,Agyei,3,3,4.7,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Darko,Churlinov,3,3,4.9,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Josh,Cullen,3,3,4.9,70,2,2,3,1513,0.0,66.0,29,0,8,0.8,3.9,0.94,1.36
Marcus,Edwards,3,3,4.7,51,1,3,1,1058,0.2,68.9,18,0,2,0.1,2.2,1.49,1.84
Hannibal,Mejbri,3,3,4.7,59,1,5,2,1219,1.8,71.0,27,0,4,0.1,2.2,0.91,2.08
Luca,Koleosho,3,3,5.0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Josh,Laurent,3,3,4.8,56,1,0,2,1752,0.8,58.6,41,0,1,0.0,1.7,0.87,0.48
Loum,Tchaouna,3,3,4.8,59,2,2,2,1259,4.2,59.3,24,0,0,0.0,2.0,1.27,0.91
Aaron,Ramsey,3,3,4.4,0,0,0,0,0,0.0,0.0,0,0,0,1.4,0.0,0.00,0.00
Oluwaseun,Adewumi,3,3,4.5,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Jaydon,Banel,3,3,4.5,1,0,0,0,9,0.0,0.0,0,0,0,0.0,1.0,0.00,0.00
Mike,Trésor Ndayishimiye,3,3,4.3,6,0,0,0,37,0.0,2.4,2,0,0,0.1,1.0,0.00,0.00
Zian,Flemming,3,4,5.3,99,11,0,3,1764,4.2,114.9,35,0,11,0.8,3.4,7.94,0.41
Zeki,Amdouni,3,4,4.8,4,0,0,0,69,1.0,2.6,0,0,0,0.0,1.0,0.24,0.02
Lyle,Foster,3,4,4.9,58,3,2,4,1361,0.2,62.1,30,0,4,0.7,2.2,3.22,0.37
Ashley,Barnes,3,4,4.2,5,0,0,0,40,0.0,4.8,3,0,0,1.2,0.9,0.25,0.04
Michael,Obafemi,3,4,4.4,0,0,0,0,0,0.0,0.0,0,0,0,0.1,0.0,0.00,0.00
Martin,Dúbravka,3,1,4.0,96,0,0,4,3150,0.5,97.9,71,127,7,25.7,2.7,0.00,0.04
James,Ward-Prowse,3,3,5.6,40,0,1,2,1092,1.2,62.1,27,0,0,0.2,2.2,0.24,1.87
Lesley,Ugochukwu,3,3,5.0,97,3,3,3,2330,2.2,80.2,51,0,5,0.1,2.8,2.50,0.41
Armando,Broja,3,4,5.2,43,1,1,1,843,0.2,38.5,27,0,2,0.1,1.8,2.14,0.22
Florentino Ibrain,Morris Luís,3,3,5.0,84,0,2,2,2100,3.2,71.4,45,0,0,0.0,2.7,0.64,0.52
Oliver,Pimlott,3,3,4.5,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
George,Brierley,3,3,4.5,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Kian,McMahon-Brown,3,3,4.5,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Norberto,Murara Neto,4,1,4.5,0,0,0,0,0,0.0,0.0,0,0,0,0.1,0.0,0.00,0.00
Đorđe,Petrović,4,1,4.6,124,0,0,11,3420,4.5,82.4,54,109,5,5.2,3.3,0.00,0.00
Will,Dennis,4,1,4.0,0,0,0,0,0,0.0,0.0,0,0,0,0.7,0.0,0.00,0.00
Callan,McKenna,4,1,3.9,0,0,0,0,0,0.0,0.0,0,0,0,0.2,0.0,0.00,0.00
